provider,model,prompt_id,first_shot_pass,eventual_pass,iterations_run,iterations_to_success,unresolved_within_cap,first_iteration_error_count,final_error_count,total_error_count_across_iterations,first_failed_then_recovered,wall_time_sec,token_input,token_output,token_total,estimated_cost_usd,run_start_iteration,run_end_iteration,is_resumed_segment,run_id,session_id,source_path
anthropic,claude-sonnet-4-6,1,True,True,1,1,False,0,0,0,False,7.918849583002157,369,534,903,,1,1,False,20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1_refine_manifest.json
anthropic,claude-sonnet-4-6,2,True,True,1,1,False,0,0,0,False,5.546177791009541,394,232,626,,1,1,False,20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2_refine_manifest.json
anthropic,claude-sonnet-4-6,3,True,True,1,1,False,0,0,0,False,10.332526708996738,392,727,1119,,1,1,False,20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3_refine_manifest.json
anthropic,claude-sonnet-4-6,4,True,True,1,1,False,0,0,0,False,5.5469486660003895,405,276,681,,1,1,False,20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4_refine_manifest.json
anthropic,claude-sonnet-4-6,5,True,True,1,1,False,0,0,0,False,4.785979874999612,349,101,450,,1,1,False,20260220-091320,20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5_refine_manifest.json
anthropic,claude-sonnet-4-6,6,True,True,1,1,False,0,0,0,False,7.720485166995786,466,698,1164,,1,1,False,20260220-091320,20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6_refine_manifest.json
anthropic,claude-sonnet-4-6,7,True,True,1,1,False,0,0,0,False,5.713742250009091,377,258,635,,1,1,False,20260220-091322,20260220-091322,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7_refine_manifest.json
anthropic,claude-sonnet-4-6,8,True,True,1,1,False,0,0,0,False,7.56903629199951,366,467,833,,1,1,False,20260220-091325,20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8_refine_manifest.json
anthropic,claude-sonnet-4-6,9,True,True,1,1,False,0,0,0,False,9.276804124994669,421,712,1133,,1,1,False,20260220-091325,20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9_refine_manifest.json
anthropic,claude-sonnet-4-6,10,True,True,1,1,False,0,0,0,False,8.308131750003668,387,568,955,,1,1,False,20260220-091328,20260220-091328,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10_refine_manifest.json
